date,sales
2015/02/12,8280984
2015/02/13,9614864
2015/02/14,9850336
2015/02/15,8480583
2015/02/16,8135022
2015/02/17,6212408
2015/02/18,6013636
2015/02/19,7728748
2015/02/20,8615529
2015/02/21,9510441
2015/02/22,8013955
2015/02/23,6919366
2015/02/24,7626405
2015/02/25,8015402
2015/02/26,5794835
2015/02/27,8712707
2015/02/28,10016665
2015/03/01,6773418
2015/03/02,8831050
2015/03/03,8646365
2015/03/04,7286918
2015/03/05,6961167
2015/03/06,7882533
2015/03/07,8129921
2015/03/08,7978498
2015/03/09,6363252
2015/03/10,7477181
2015/03/11,7821648
2015/03/12,7158753
2015/03/13,8305501
2015/03/14,9306983
2015/03/15,8382394
2015/03/16,6730391
2015/03/17,7312612
2015/03/18,7235297
2015/03/19,6297155
2015/03/20,8512567
2015/03/21,9264391
2015/03/22,8061386
2015/03/23,7274757
2015/03/24,7203873
2015/03/25,7082922
2015/03/26,7411546
2015/03/27,8773445
2015/03/28,9235096
2015/03/29,8430608
2015/03/30,7615372
2015/03/31,7275907
2015/04/01,7260714
2015/04/02,7881148
2015/04/03,8143651
2015/04/04,10011973
2015/04/05,7997513
2015/04/06,7516584
2015/04/07,6614880
2015/04/08,6386602
2015/04/09,7894703
2015/04/10,7753739
2015/04/11,8929869
2015/04/12,9298844
2015/04/13,5747704
2015/04/14,6696962
2015/04/15,7924626
2015/04/16,7600279
2015/04/17,8138617
2015/04/18,9308818
2015/04/19,8448809
2015/04/20,6114874
2015/04/21,7659892
2015/04/22,7130247
2015/04/23,7241479
2015/04/24,7999499
2015/04/25,8885370
2015/04/26,8803260
2015/04/27,7487773
2015/04/28,7461680
2015/04/29,7540153
2015/04/30,7647027
2015/05/01,8679549
2015/05/02,8331855
2015/05/03,9394642
2015/05/04,8345481
2015/05/05,8741439
2015/05/06,8292817
2015/05/07,7826852
2015/05/08,9103791
2015/05/09,9610615
2015/05/10,10173857
2015/05/11,7951507
2015/05/12,6340891
2015/05/13,7249225
2015/05/14,7233798
2015/05/15,8225143
2015/05/16,9333109
2015/05/17,8509388
2015/05/18,7290789
2015/05/19,7084588
2015/05/20,7285967
2015/05/21,7204585
2015/05/22,8802592
2015/05/23,8642470
2015/05/24,8792373
